transaction_id,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
1,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
2,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
3,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
4,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
5,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
6,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
7,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
8,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
9,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
10,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
11,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
12,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
13,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
14,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
15,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
17,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
18,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
19,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
20,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
21,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
24,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
26,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
27,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
28,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
29,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
30,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
31,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
32,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
33,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
34,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
35,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
36,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
37,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
38,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
39,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
40,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
42,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
43,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
44,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
45,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
46,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
49,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
57,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
58,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
59,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
60,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
61,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
62,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
63,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
64,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
65,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
66,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
67,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
68,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
69,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
70,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
71,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
73,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
74,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
75,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
76,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
77,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
80,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
82,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
83,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
84,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
85,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
86,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
87,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
88,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
89,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
90,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
91,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
92,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
93,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
94,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
95,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
96,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
98,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
99,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
100,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
101,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
102,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
105,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
120,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
121,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
122,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
123,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
124,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
125,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
126,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
127,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
128,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
129,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
130,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
131,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
132,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
133,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
134,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
136,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
137,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
138,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
139,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
140,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
143,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
145,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
146,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
147,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
148,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
149,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
150,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
151,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
152,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
153,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
154,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
155,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
156,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
157,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
158,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
159,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
161,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
162,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
163,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
164,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
165,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
168,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
170,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
171,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
172,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
173,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
174,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
175,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
176,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
177,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
178,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
179,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
180,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
181,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
182,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
183,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
184,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
186,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
187,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
188,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
189,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
190,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
193,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
195,milk,bread,butter,eggs,cheese,NULL,NULL,NULL,NULL,NULL
196,milk,bread,eggs,cheese,NULL,NULL,NULL,NULL,NULL,NULL
197,bread,butter,tomato,onion,potato,NULL,NULL,NULL,NULL,NULL
198,milk,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
199,milk,bread,butter,chocolate,soda,NULL,NULL,NULL,NULL,NULL
200,apple,banana,tomato,onion,NULL,NULL,NULL,NULL,NULL,NULL
201,rice,chicken,salt,onion,tomato,NULL,NULL,NULL,NULL,NULL
202,milk,bread,rice,chicken,NULL,NULL,NULL,NULL,NULL,NULL
203,milk,bread,butter,eggs,coffee,NULL,NULL,NULL,NULL,NULL
204,banana,apple,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL
205,milk,yogurt,banana,apple,NULL,NULL,NULL,NULL,NULL,NULL
206,bread,butter,cheese,tea,NULL,NULL,NULL,NULL,NULL,NULL
207,rice,beef,onion,tomato,salt,NULL,NULL,NULL,NULL,NULL
208,milk,bread,eggs,sugar,NULL,NULL,NULL,NULL,NULL,NULL
209,coffee,chocolate,soda,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,apple,banana,milk,yogurt,NULL,NULL,NULL,NULL,NULL,NULL
211,bread,butter,eggs,cheese,milk,NULL,NULL,NULL,NULL,NULL
212,rice,chicken,potato,onion,NULL,NULL,NULL,NULL,NULL,NULL
213,milk,coffee,sugar,chocolate,NULL,NULL,NULL,NULL,NULL,NULL
214,tomato,onion,potato,salt,NULL,NULL,NULL,NULL,NULL,NULL
215,milk,bread,butter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
216,banana,apple,chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL
217,rice,chicken,onion,tomato,NULL,NULL,NULL,NULL,NULL,NULL
218,milk,bread,cheese,NULL,NULL,NULL,NULL,NULL,NULL,NULL
219,coffee,tea,sugar,milk,NULL,NULL,NULL,NULL,NULL,NULL
